"1 x 2 + 3 x 4 = ?","14","24","15","26",1
"Thủ đô của Việt Nam là?","Hà Nội","TP.HCM","Đà Nẵng","Huế",0
"1kg bằng bao nhiêu gam?","100","1000","10000","10",1
"Mặt trời mọc ở hướng nào?","Tây","Đông","Nam","Bắc",1
"Nước có công thức hóa học là gì?","CO2","H2O","O2","N2",1
"5 x 6 = ?","30","25","35","40",0
"Hành tinh nào gần Mặt Trời nhất?","Trái Đất","Sao Hỏa","Sao Thủy","Sao Kim",2
"1 năm có bao nhiêu ngày?","365","360","366","355",0
"Mèo thuộc họ gì?","Canidae","Felidae","Bovidae","Equidae",1
"1 + 1 x 0 = ?","0","1","2","11",1
